Alarm ID,Time
Singulator_U1U2_Jam,07:18:35
MG4_PHTEYE_JAM,00:29:45
MCP_ESTOP_NOTRESET,00:27:20
VIS_MTRX_BED_BLT_FLT,00:26:35
G1_PHTEYE_JAM,00:19:10
G9_PHTEYE_JAM,00:15:20
G8_PHTEYE_JAM,00:10:00
G6_PHTEYE_JAM,00:09:05
G2_PHTEYE_JAM,00:09:00
G4_PHTEYE_JAM,00:08:30
G5_PHTEYE_JAM,00:06:40
VIS_SYS_FLT,00:05:35
G3_PHTEYE_JAM,00:05:29
G10_MOTR_OVRLD,00:05:29
VIS_PHTEYE_JAM_FLT,00:04:40
G7_PHTEYE_JAM,00:03:45
CAP_MAINT_MODE,00:02:35
ESS4_EStop_Active,00:01:51
G9_MOTR_OVRLD,00:01:40
ESS2_EStop_NotReset,00:01:27
PG1_PHTEYE_JAM,00:01:10
ESS2_EStop_Active,00:01:09
VIS_CAM_FLT,00:00:34
VIS_ESTOP_NOTRESET,00:00:30
VIS_ESTOP,00:00:00
ESS1_EStop_Active,00:00:00
D4_MOTR_OVRLD,00:00:00
ESS4_EStop_NotReset,00:00:00
ESS1_EStop_NotReset,00:00:00
